k,m,logm_k
136,1697892,2.91999
137,1697892,2.91564
138,1697892,2.91134
139,1697892,2.90708
140,1697892,2.90286
141,1697892,2.89869
142,1697892,2.89455
143,1697892,2.89046
144,1697892,2.88641
145,1697892,2.88239
146,1697892,2.87842
147,1697892,2.87448
148,1697892,2.87058
149,2512328,2.94502
150,2512328,2.94109
151,2512338,2.93719
152,2512338,2.93333
153,2512338,2.92951
154,2512338,2.92572
155,2512338,2.92197
156,2512338,2.91825
157,2512338,2.91456
158,2512338,2.9109
159,2512338,2.90728
160,2512338,2.90369
161,2512338,2.90013
162,3179267,2.94288
163,3777543,2.97317
164,3777543,2.9696
165,3777543,2.96607
166,3777543,2.96256
167,3777543,2.95909
168,3777543,2.95564
169,3777543,2.95222
170,3777543,2.94883
171,3777543,2.94546
172,3777543,2.94213
173,5954760,3.02713
174,5954760,3.02375
175,5954760,3.0204
176,5954760,3.01707
177,5954760,3.01377
178,5954760,3.01049
179,5954760,3.00724
180,5954760,3.00401
181,8132064,3.06075
182,8132064,3.05751
183,8132064,3.0543
184,8132064,3.05111
185,8132064,3.04794
186,8132064,3.04479
187,8132064,3.04167
188,8132064,3.03858
189,8132064,3.0355
190,8132064,3.03245
191,8132064,3.02942
192,8469630,3.03414
193,8822592,3.03891
194,8822592,3.03593
195,8822592,3.03297
196,8822592,3.03003
197,9176328,3.03455
198,9176328,3.03164
199,9176328,3.02876
200,9176328,3.02589
201,9176328,3.02305
202,9176328,3.02022
203,9176328,3.01741
204,9176328,3.01463
205,9176328,3.01186
206,9176328,3.0091
207,9176328,3.00637
208,9176328,3.00366
209,9176328,3.00096
210,11687025,3.04351
211,11687025,3.04081
212,11687025,3.03813
213,11687025,3.03546
214,11687025,3.03281
215,11687025,3.03018
216,11687025,3.02756
217,11687025,3.02496
218,11687025,3.02238
219,11687025,3.01981
220,11687025,3.01726
221,11687025,3.01473
222,11687025,3.01221
223,11687025,3.0097
224,11687025,3.00722
225,11687025,3.00474
226,11687025,3.00228
227,11687025,2.99984
228,11687025,2.99741
229,11687025,2.995
230,11687025,2.9926
231,11687025,2.99021
232,11687025,2.98784
233,11687025,2.98548
234,11687025,2.98314
235,11687025,2.98081
236,11687025,2.97849
237,11687025,2.97619
238,11687025,2.9739
239,24525224,3.10697
240,24525224,3.1046
241,24525224,3.10225
242,24525224,3.09991
243,24525224,3.09758
244,24525224,3.09527
245,24525224,3.09297
246,24525224,3.09068
247,24525224,3.0884
248,24525224,3.08614
249,24525224,3.08389
250,24525224,3.08165
251,27124146,3.09765
252,27124146,3.09543
253,27124146,3.09321
254,31183250,3.11619
255,31183250,3.11398
256,31183250,3.11178
257,31183250,3.1096
258,31183250,3.10742
259,31183250,3.10526
260,31183250,3.10311
261,31183250,3.10097
262,31183250,3.09884
263,31183250,3.09672
264,31183250,3.09461
265,39508923,3.13493
266,39508923,3.13281
267,40880736,3.13682
268,40880736,3.13472
269,40880736,3.13263
270,40880736,3.13056
271,40880736,3.12849
272,40880736,3.12643
273,40880736,3.12439
274,40880736,3.12235
275,40880736,3.12033
276,40880736,3.11831
277,40880736,3.11631
278,40880736,3.11431
279,40880736,3.11233
280,40880736,3.11035
281,40880736,3.10838
282,40880736,3.10643
283,51983390,3.14704
284,51983390,3.14507
285,51983390,3.14312
286,51983390,3.14117
287,51983390,3.13923
288,51983390,3.13731
289,51983390,3.13539
290,51983390,3.13348
291,51983390,3.13157
292,51983390,3.12968
293,51983390,3.1278
294,51983390,3.12592
295,51983390,3.12406
296,51983390,3.1222
